Title,Keywords,URL
Distributed Representations of Words and Phrases and their Compositionality,word2vec word embeddings skip-gram,http://papers.nips.cc/paper/5021-distributed-representations-of-words-and-phrases-and-their-compositionality.pdf
word2vec explained,word2vec word embeddings skip-gram,http://arxiv.org/pdf/1402.3722v1.pdf
Multi-language Sentiment Classification Using Deep Convolutional Neural Networks,deep learning sentiment,wsdm2016-sentiment.pdf
Comparative Study of Deep Learning Software Frameworks,libraries,https://arxiv.org/pdf/1511.06435v3.pdf
Sentiment Analysis of Twitter Data, emoticon & acronym dictionary/tree kernel/syntax features, http://www.cs.columbia.edu/~julia/papers/Agarwaletal11.pdf
Applications of Deep Learning to Sentiment Analysis of Movie Reviews,architectures,https://cs224d.stanford.edu/reports/Shirani-MehrH.pdf
Deep Convolutional Neural Networks for Sentiment Analysis of Short Texts,tweets short texts,http://www.aclweb.org/anthology/C14-1008
Corpora Description (page 3),corpora,http://dreamboxx.com/mark/data/essem13.pdf
Gradient-Based Learning Applied to Document Recognition,base canonical,http://yann.lecun.com/exdb/publis/pdf/lecun-98.pdf
A Fast Learning Algorithm for Deep Belief Nets '06,,http://www.cs.toronto.edu/~hinton/absps/ncfast.pdf
Semi-Supervised Recursive Autoencoders for Predicting Sentiment Distributions,,http://nlp.stanford.edu/pubs/SocherPenningtonHuangNgManning_EMNLP2011.pdf
A Neural Probabilistic Language Model,,http://www.ai.mit.edu/projects/jmlr/papers/volume3/tmp/bengio03a.pdf
Random Search for Hyper-Parameter Optimization,hyperparameter optimization,http://www.jmlr.org/papers/volume13/bergstra12a/bergstra12a.pdf
Evaluation methods for unsupervised word embeddings,word embeddings evaluation,http://www.aclweb.org/anthology/D15-1036
